time_sec,epoch,train_loss,val_acc,test_acc,lr,wd,batch,seed
1199.999,90,1.005592,0.791600,0.794600,0.050000,0.000500,128,42
1213.916,91,0.999231,0.790400,0.794500,0.050000,0.000500,128,42
1227.899,92,1.006875,0.792800,0.793800,0.050000,0.000500,128,42
1241.883,93,1.001210,0.794600,0.794100,0.050000,0.000500,128,42
1255.865,94,1.001456,0.794300,0.793100,0.050000,0.000500,128,42
1269.834,95,1.003269,0.793000,0.794500,0.050000,0.000500,128,42
1283.776,96,1.002973,0.793200,0.793500,0.050000,0.000500,128,42
1297.825,97,0.999511,0.794400,0.795600,0.050000,0.000500,128,42
1311.855,98,0.999926,0.795800,0.794300,0.050000,0.000500,128,42
1326.198,99,1.000279,0.794300,0.794400,0.050000,0.000500,128,42
1340.064,100,0.998086,0.794000,0.793800,0.050000,0.000500,128,42
