Scanning all experiment results...
======================================================================================================================================================
COMPREHENSIVE EXPERIMENT RESULTS TABLE
======================================================================================================================================================

Total experiments found: 134


======================================================================================================================================================
FEDASYNC EXPERIMENTS (25 runs)
======================================================================================================================================================
Run Date     Exp ID   Alpha    Strag %  Clients  Rounds   Best Acc   Final Acc  Time (min)   Run Dir                                 
20251126     -        1000.0   30       20       16       0.1000     0.1000     -            run_20251126_145417                     
20251127     -        0.1      30       10       16       0.1000     0.1000     -            run_20251127_102827                     
20251127     -        0.1      30       10       55       0.1000     0.1000     -            run_20251127_102944                     
20251127     -        0.1      30       10       40       0.1010     0.1000     4.19         run_20251127_182141                     
20251127     -        0.1      30       10       40       0.1000     0.1000     0.36         run_20251127_183805                     
20251127     -        0.1      30       10       40       0.0955     0.0894     8.24         run_20251127_184932                     
20251127     -        0.1      30       10       -        0.0954     0.0954     1.88         run_20251127_190321                     
20251127     -        0.1      30       10       -        0.0954     0.0954     19.74        run_20251127_190448                     
20251127     -        0.1      30       10       -        0.0954     0.0954     16.43        run_20251127_190806                     
20251127     -        0.1      30       10       -        0.0954     0.0954     15.21        run_20251127_190919                     
20251127     -        0.1      30       10       -        0.0954     0.0954     3.32         run_20251127_191038                     
20251127     -        0.1      30       10       15       0.0954     0.0952     3.22         run_20251127_192439                     
20251127     -        0.1      30       10       9        0.0954     0.0936     2.17         run_20251127_195121                     
20251127     -        0.1      30       10       20       0.1442     0.1442     4.26         run_20251127_200904                     
20251127     -        0.1      30       10       100      0.1137     0.1000     21.57        run_20251127_202627                     
20251127     -        0.1      30       10       40       0.1499     0.1499     8.66         run_20251127_205852                     
20251127     -        0.1      30       10       200      0.4067     0.2550     21.72        run_20251127_212716                     
20251127     -        0.5      0        10       200      0.2550     0.2550     0.54         run_20251127_224746                     
20251127     -        0.5      0        10       200      0.2550     0.2550     0.48         run_20251127_224929                     
20251127     -        0.5      0        10       100      0.3783     0.3770     7.57         run_20251127_225214                     
20251128     -        0.1      0        10       87       0.3834     0.2219     59.92        run_20251128_034307                     
20251128     -        0.1      0        10       99       0.4256     0.3530     80.64        run_20251128_071743                     
20251128     -        0.5      0        10       100      0.3770     0.3770     9.74         run_20251128_001443                     
20251128     -        0.5      0        10       -        0.0954     0.0954     8.40         run_20251128_001604                     
20251128     -        0.5      0        10       -        0.0954     0.0954     3.48         run_20251128_002436                     
20251128     -        0.5      0        10       -        0.0954     0.0954     5.05         run_20251128_002811                     
20251128     -        0.5      0        10       -        0.0954     0.0954     1.67         run_20251128_003320                     
20251128     -        0.5      0        10       100      0.3428     0.3307     8.91         run_20251128_003508                     
20251128     -        0.5      0        10       -        0.0999     0.0999     10.21        run_20251128_013808                     
20251128     -        0.5      0        10       -        0.1072     0.1072     2.42         run_20251128_014828                     
20251128     -        0.5      0        10       27       0.1701     0.1699     6.47         run_20251128_015101                     
20251128     -        0.5      0        10       30       0.5068     0.5068     7.02         run_20251128_015739                     
20251128     -        0.5      0        10       -        0.1005     0.1005     3.03         run_20251128_021044                     
20251128     -        0.5      0        10       100      0.6151     0.5692     79.18        run_20251128_021408                     
